Title,Company,Date,Location,Skills,Links,Job Requirements
AI Intern,Barkotel -,1 month ago,"Sheraton, Cairo, Egypt ",InternshipHybridEntry Level  0 - 1 Yrs of Exp  IT/Software Development  Sales/Retail  Engineering - Telecom/Technology  Artificial Intelligence  Computer Science  Software Engineering  Machine Learning  Computer Vision  Programming,https://wuzzuf.net/internship/Ctpyub0e8jD6-AI-Intern-Barkotel-Cairo-Egypt,"Senior or graduate from an engineering discipline, such as computer science, electrical engineering, or related fields.Strong self-study abilities and a passion for continuous learning and growth.Proficiency in Python programming language.Basic understanding of computer vision principles, algorithms, and techniques.Familiarity with machine learning models and frameworks.Comfort working in a Linux environment.Exposure to API design and implementation using frameworks like Flask.Some experience or knowledge in embedded systems development is preferred.Familiarity with PCB design using tools such as Proteus, Eagle, EasyEDA, or equivalent is a plus.Strong problem-solving and analytical skills.Good communication skills for effective collaboration with cross-functional teams."
Learning & Development Management Supervisor,"Zakat, Tax and Customs Authority -",17 days ago,"Riyadh, Saudi Arabia ",Full TimeExperienced  IT/Software Development  Engineering - Telecom/Technology  Education/Teaching  Education  Learning  Training  Information Technology (IT)  Computer Science  Teaching  E-Learning,https://wuzzuf.net/jobs/p/g/gfVvuJwX1b3R-Learning-Development-Management-Supervisor-Zakat-Tax-and-Customs-Authority-Riyadh-Saudi-Arabia,No Job Requirements Mentioned
AI Engineer - Saudi Arabia,Yeah! Global -,3 days ago,"Riyadh, Saudi Arabia ",Full TimeEntry Level  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  AI  Information Technology (IT)  Computer Science  Engineering  Python  Software Engineering  NLP,https://wuzzuf.net/jobs/p/g/MpKPqtg2vCvR-AI-Engineer---Saudi-Arabia-Yeah-Global-Riyadh-Saudi-Arabia,No Job Requirements Mentioned
AI Engineer - UAE,Yeah! Global -,3 days ago,"Dubai, United Arab Emirates ",Full TimeEntry Level  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  AI  Information Technology (IT)  Computer Science  Engineering  Python  Software Engineering  NLP,https://wuzzuf.net/jobs/p/g/prPWfc7UJgKZ-AI-Engineer---UAE-Yeah-Global-Dubai-United-Arab-Emirates,No Job Requirements Mentioned
Senior Data Scientist - 1 year FTC - Saudi Arabia relocation,Fathom.io -,5 days ago,"Riyadh, Saudi Arabia ",Full TimeExperienced  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Science  Information Technology (IT)  SQL  Python  Engineering  Data Analysis  Software Development,https://wuzzuf.net/jobs/p/g/jkd5KfBTlK8o-Senior-Data-Scientist---1-year-FTC---Saudi-Arabia-relocation-Fathom-io-Riyadh-Saudi-Arabia,No Job Requirements Mentioned
Data Scientist,Presight -,7 days ago,"Dubai, United Arab Emirates ",Full TimeEntry Level  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Python  Computer Science  Information Technology (IT)  SQL  Data Science  Data Scientist  Machine Learning,https://wuzzuf.net/jobs/p/g/Fq2ct0VAPU1P-Data-Scientist-Presight-Dubai-United-Arab-Emirates,"Minimum 3 years experience teaching AI data science and machine learning courses in a well known Training Centers or the ITI or the NTI.5+ years of industry experience.Teaching/tutoring/mentorship experience.Proficiency in Python, Machine Learning (Unsupervised and Supervised Learning), Natural Language Processing, Deep Learning and Neural Networks, Linear Regression, Transformers, and AI applications.Share your own professional experiences and industry insight with the students.Be able to infuse empathy, support, encouragement, and fun into the student experience."
Junior Data Scientist (Remote),Kreativstorm -,12 days ago,"Riyadh, Saudi Arabia ",Full TimeEntry Level  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Science  Python  Information Technology (IT)  SQL  Data Science  Data Analysis  Java,https://wuzzuf.net/jobs/p/g/62D0dfELqShn-Junior-Data-Scientist-Remote-Kreativstorm-Riyadh-Saudi-Arabia,"Required Skills and Qualifications:10+ years of experience in Python programming.Extensive experience with TensorFlow and PyTorch.Strong knowledge of machine learning algorithms and deep learning techniques.Proficiency in data visualization tools such as Matplotlib, Seaborn, or Plotly.Experience with data preprocessing and feature engineering.Familiarity with cloud platforms (AWS, Azure, GCP) and containerization (Docker, Kubernetes).Excellent problem-solving skills and attention to detail.Strong communication skills and ability to work collaboratively in a team environment.Preferred Qualifications:Experience with big data technologies (e.g., Hadoop, Spark).Knowledge of natural language processing (NLP) and computer vision.Familiarity with Agile/Scrum development methodologies.Experience with CI/CD pipelines for ML models.What We Offer:Competitive salary and benefits.Opportunities for professional growth and development.A collaborative and innovative work environment.The chance to work on challenging and rewarding projects. Citylogix is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
Python Data Scientist (Quantitative Finance),Jobs via eFinancialCareers -,14 days ago,"Dubai, United Arab Emirates ",Full TimeEntry Level  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Python  Computer Science  Information Technology (IT)  SQL  Data Science  Machine Learning  Data Scientist,https://wuzzuf.net/jobs/p/g/4KUn2KASGF19-Python-Data-Scientist-Quantitative-Finance-Jobs-via-eFinancialCareers-Dubai-United-Arab-Emirates,"Experience:2-4 years of proven experience as a Machine Learning Engineer or similar role with a demonstrable project portfolio.Search Engines and recommendation previous experience is preferred.Skills and Abilities:Proficiency in programming languages such as PythonStrong understanding of machine learning algorithms and techniques.Advanced Knowledge of Technical stack such as Python, Elasticsearch, Docker, MySQL.Proficient in using machine learning frameworks and tools such as TensorFlow, PyTorch, pandas and scikit-learn.Strong analytical and logical thinking for tackling complex challenges.Excellent ability to communicate technical concepts to both technical and non-technical stakeholders.Strong understanding of search methodologies, including indexing, query processing, and relevance ranking.Language Proficiency:Fluent English and Arabic verbal and written."
Jr. Data Scientist,DXC Technology -,28 days ago,"Dubai, United Arab Emirates ",Full TimeEntry Level  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Python  Computer Science  Information Technology (IT)  SQL  Data Science  Machine Learning  Data Scientist,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates,"1. Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or a related field.2. Minimum of 4 years of professional experience in developing and deploying machine learning models, with a strong emphasis on computer vision applications.3. Extensive knowledge of machine learning concepts, algorithms, and frameworks, including but not limited to CNN, RNN, LSTM, and Transformers.4. Proven track record of selecting and implementing appropriate machine learning models based on project requirements and performance metrics.5. Proficiency in programming languages such as Python, C++, and Java, along with experience in deep learning frameworks like TensorFlow, PyTorch, or Keras.6. In-depth understanding and hands-on experience with the YOLO object detection framework, including training, fine-tuning, and deploying YOLO models for various applications.7. Familiarity with computer vision techniques, including image preprocessing, augmentation, segmentation, and object tracking.8. Strong problem-solving skills and the ability to analyze and optimize model performance.9. Excellent communication and collaboration skills, with the ability to work effectively in a team environment.10. Experience with version control systems (e.g., Git) and collaborative development tools (e.g., Jira, Confluence)."
Data Scientist,Wakeb Data -,16 days ago,"Mohandessin, Giza, Egypt ",Full TimeOn-siteExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  data scientist  Python,https://wuzzuf.net/jobs/p/A1R0nwGwUvSB-Data-Scientist-Wakeb-Data-Giza-Egypt,"Qualifications:Master's or PhD in Computer Science, Artificial Intelligence, Biomedical Engineering, or related field.Proven experience in leading AI projects, preferably in the healthcare domain.Strong background in machine learning, deep learning, and computer visionFamiliarity with medical imaging technologies (e.g., MRI, CT, X-ray) and clinical workflowsExperience with regulatory standards in healthcare technology (e.g., HIPAA, FDA)Excellent problem-solving, leadership, and communication skillsSkills:Proficiency in programming languages such as Python, C++, or JavaExperience with AI and ML frameworks.Strong analytical and critical thinking abilitiesAbility to work in a fast-paced and dynamic environment."
AI Specialist,LINK Development -,29 days ago,"Cairo, Egypt ",Full TimeHybridEntry Level  1 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  BI  Software Engineering  SQL  Software Development  Power BI  SSRS  SQL Server,https://wuzzuf.net/jobs/p/Dri0pKvcTYTF-AI-Specialist-LINK-Development-Cairo-Egypt,"Good command of some or all of the following (the more the better):Backend DevelopmentWeb frameworks (preferably: Python Django)APIs  (Preferably: DRF)Data Access (Preferably Django ORM )Experience in frameworks and languages similar to those preferred (such as C#, Java or PHP frameworks) is highly considered - as the concepts are mostly the same - provided that you exhibit ability to learn new frameworks and languages easily.Frontend DevelopmentHTMLCSSJavascript Frameworks (Preferably Vue.js)Experience in development of Enterprise SystemsPortalsAPI PlatformsIntegration (Application and data integration)Enterprise web applicationsDatabase design/modeling and developmentBackground tasks and message queuesReports/Business IntelligenceDatabaseComplex SQL queries and ObjectsMobile AppMobile app development capabilities (preferably Flutter) is a plus.Artificial IntelligenceAI capabilities are a plus.Business IntelligenceBusiness Intelligence capabilities are a plus.DevOpsGitlabDockerKubernetesGunicornWaitressIISLinuxWindows Server"
Data Scientist,BBI-Consultancy -,16 days ago,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced  4+ Yrs of Exp  IT/Software Development  Computer Science  Data Analytics  Data Science  Data  data scientist  Information Technology (IT)  Mathematics  Science  Python,https://wuzzuf.net/jobs/p/ADYmYAIdfprB-Data-Scientist-BBI-Consultancy-Cairo-Egypt,"Qualifications and skills required:• A bachelor degree (computer science, engineering, preferred)• 0-1 years of relevant experience.• Java Knowledge.• Database Knowledge.• PHP, javascript (nodejs) is a plus• Java programming experience• OOP knowledge• Troubleshooting skills• Problem solving skills• Analytical skills• Database experience (MySQL)• Good understanding of networking concepts• Good understanding of web technologies• Good understanding of machine learning• PHP, Javascript is a plus• Angular is a plus"
Senior Cost Accountant (Manufacturing Industry),Selah ElTelmeez For Publishing & printing -,2 days ago,"Obour City, Cairo, Egypt ",Full TimeOn-siteExperienced  4 - 6 Yrs of Exp  Accounting/Finance  Accounting  analytical  Communication  Cost Accounting  ERP System  Finance  Financial Management  Cost  English,https://wuzzuf.net/jobs/p/iAQBXLELtR2S-Senior-Cost-Accountant-Manufacturing-Industry-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,"BSc. degree in Mechatronics Engineering, Computer Engineering, Communication Engineering or any Relevant Degree.C programming (Must), Python and OOP concepts (Must) and Algorithms.knowledge in electronics and logic design.Very good knowledge in Microcontrollers interfacing using (AVR or PIC).Knowledge in communication protocols such as (SPI,UART , TWI)Experience in ai Libraries and frameworks  such as opencv and TKinter.Experience in developing learning materials and coursesExcellent communication and presentation skills"
Injection intern,El Teriak Industrial Group -,14 days ago,"Giza, Egypt ",InternshipOn-siteEntry Level  Engineering - Mechanical/Electrical  Engineering - Other  Plastic Injection  Microsoft Office  Engineering,https://wuzzuf.net/internship/cnvsIxbQB3WI-Injection-intern-El-Teriak-Industrial-Group-Giza-Egypt,"Experience: 0 – 3 yearsBS/MS degree in Computer Science, Network Engineering, or a related subjectExperience with Pipeline tools (preferably GitHub actions)Excellent command of LinuxStrong knowledge of Bash scriptingExperience with DockerKnowledge of AWS, GCP, or Azure (preferably AWS)Knowledge of PythonProficient understanding of code versioning tools (e.g. Git).Strong troubleshooting skills.Ability to document requirements and specificationsExtra points: Background in SecurityBackground in APM Background in AI/MLBackground in Kubernetes and JenkinsExperience with mobile platform CI/CD processes. Important Note: We care for the well-being of our team members. Hence, we are looking into candidates living nearby Heliopolis Area. Please don't apply if you live very far away."
junior ML JD,ysolution -,2 months ago,"Damietta, Egypt ",Full TimeRemoteEntry Level  0 - 3 Yrs of Exp  Engineering - Telecom/Technology  Information Technology (IT)  Python,https://wuzzuf.net/jobs/p/ojt8dLVqVjNB-junior-ML-JD-ysolution-Damietta-Egypt,"RequirementsFresh Graduate - Computer science, Engineering or a related discipline.What is expected from the trainee?Trainees should get their laptop with them.The trainee should put in their consideration that the sessions are not the end, it’s just to put them on the track and enlighten the road. It’s just the beginning so, they should search more and more for each topic after the sessions to enhance their skills and build a strong base.Supervision by Seniors from our team will support the trainee while doing the self-learning topics and the practical real tasks.Trainees should showcase their talent, passion and strong will in learning new technologies.Should have teamwork and communication skills. "
Mold intern,El Teriak Industrial Group -,14 days ago,"Giza, Egypt ",InternshipOn-siteEntry Level  Manufacturing/Production  Engineering - Mechanical/Electrical  Molding  Molding Design,https://wuzzuf.net/internship/QqGN9RaOD0hG-Mold-intern-El-Teriak-Industrial-Group-Giza-Egypt,"Senior or graduate from an engineering discipline, such as computer science, electrical engineering, or related fields.Strong self-study abilities and a passion for continuous learning and growth.Proficiency in Python programming language.Basic understanding of computer vision principles, algorithms, and techniques.Familiarity with machine learning models and frameworks.Comfort working in a Linux environment.Exposure to API design and implementation using frameworks like Flask.Some experience or knowledge in embedded systems development is preferred.Familiarity with PCB design using tools such as Proteus, Eagle, EasyEDA, or equivalent is a plus.Strong problem-solving and analytical skills.Good communication skills for effective collaboration with cross-functional teams."
Full-Stack Python Team Leader (Django/React),RDI -,16 days ago,"Dokki, Giza, Egypt ",Full TimeHybridExperienced  5 - 8 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  React  Django  Full Stack Development  Information Technology (IT)  Computer Science  RESTful API  Microservice Architecture  Database Systems,https://wuzzuf.net/jobs/p/lUjXG5LrSPSE-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Giza-Egypt,No Job Requirements Mentioned
Full-Stack Team Leader (Django/React),RDI -,16 days ago,"Dokki, Giza, Egypt ",Full TimeHybridExperienced  5 - 8 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  React  Django  Full Stack Development  Information Technology (IT)  Computer Science  RESTful API  Microservice Architecture  Database Systems,https://wuzzuf.net/jobs/p/gzrE5lnkAlHQ-Full-Stack-Team-Leader-DjangoReact-RDI-Giza-Egypt,No Job Requirements Mentioned
Senior Backend Developer,Pioneers Now -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced  5+ Yrs of Exp  Business Development  IT/Software Development  Software  backend  Computer Science  Design  Engineering  Information Technology (IT)  Python  Software Engineering,https://wuzzuf.net/jobs/p/Mqo3dmpbrOAE-Senior-Backend-Developer-Pioneers-Now-Cairo-Egypt,No Job Requirements Mentioned
Cnc sheet metal maintenance engineer,Promech Engineering -,2 days ago,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced  3 - 5 Yrs of Exp  Manufacturing/Production  Engineering  Sheet Metal  Maintenance  Mechanical Engineering  Metal  CNC  Production,https://wuzzuf.net/jobs/p/ijaAMUoBvFLm-Cnc-sheet-metal-maintenance-engineer-Promech-Engineering-Cairo-Egypt,No Job Requirements Mentioned
Senior python backend developer.,Pioneers Now -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeHybridExperienced  5 - 8 Yrs of Exp  males_only  Business Development  IT/Software Development  Marketing/PR/Advertising  backend  Software  Software Development  Web Development,https://wuzzuf.net/jobs/p/elLKZgBCFIgA-Senior-python-backend-developer-Pioneers-Now-Cairo-Egypt,No Job Requirements Mentioned
Data/Artificial Intelligence Sr. Consultant,Exco Egypt -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeOn-siteManager  10 - 16 Yrs of Exp  males_preferred  Strategy/Consulting  Engineering - Other  Artificial Intelligence  Computer Science  Software Development  Data Engineer,https://wuzzuf.net/jobs/p/MirKjNxU7veX-DataArtificial-Intelligence-Sr-Consultant-Exco-Egypt-Cairo-Egypt,No Job Requirements Mentioned
Shop Floor Manager,Confidential -,3 days ago,"Darrasa, Cairo, Egypt ",Full TimeOn-siteManager  2 - 3 Yrs of Exp  Operations/Management  Manufacturing/Production  Project/Program Management  Management  Quality Assurance  Factory Management  Project Management  Manufacturing,https://wuzzuf.net/jobs/p/SNN7Bj0myiS1-Shop-Floor-Manager-Cairo-Egypt,No Job Requirements Mentioned
Junior Python Developer,RDI -,19 hours ago,"Dokki, Giza, Egypt ",Full TimeHybridEntry Level  1 - 3 Yrs of Exp  Business Development  IT/Software Development  Engineering - Telecom/Technology  Python  MySQL  JavaScript  React  Angular  RESTful  Django,https://wuzzuf.net/jobs/p/xJp7GQsxL0de-Junior-Python-Developer-RDI-Giza-Egypt,No Job Requirements Mentioned
Big Data Consultant,Exco Egypt -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeOn-siteManager  10 - 16 Yrs of Exp  males_preferred  Analyst/Research  Strategy/Consulting  Big Data  Analysis  Data Management  Computer Engineering  Data Science,https://wuzzuf.net/jobs/p/egjM6VMefvKW-Big-Data-Consultant-Exco-Egypt-Cairo-Egypt,"Proven experience as a Data Scientist or Data AnalystExperience in data miningUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)Analytical mind and business acumenStrong math skills (e.g. statistics, algebra)Problem-solving aptitudeExcellent communication and presentation skillsBSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred"
Data Analyst,Confidential -,1 month ago,"Mohandessin, Giza, Egypt ",Full TimeHybridEntry Level  1 - 2 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Analysis  analytical  Communication skills  Computer Science  Data  Data Analysis  Engineering  ETL,https://wuzzuf.net/jobs/p/ewn4cDHL1bUW-Data-Analyst-Giza-Egypt,"Programming Language: PythonStrong understanding of machine learning algorithms, neural networks, and deep learning techniquesExperience with popular ML frameworks like TensorFlow or PyTorch is often required.Proficiency in data preprocessing, cleaning, and analysis. Knowledge of libraries like Pandas and NumPy for data manipulationFamiliarity with tools for building and deploying AI models, such as Jupyter notebooks, Azure ML service, AWS Sage Maker,..skills in working with NLP libraries & Knowledge of Huggingface Transformers.Knowledge of databases and query languages (SQL, NoSQL) f"
